Due_date,Due_month,Due_band,Tenure_band,new_old,disbursal_category,reloan_type,payment_tenure,state,zone,cnt_due,amt_due,cnt_paid,collection_amount,sanction_amount
2025-10-30,2025-10-01,<10K,21-25D,New,NF,,minus_6,PUNJAB,North,1,2882.0,1,2882,2200.0
2025-10-30,2025-10-01,10K-20K,>45D,New,NF,,plus_90+,TAMIL NADU,South,6,91310.0,0,,73000.0
2025-10-30,2025-10-01,<10K,31-35D,Old,E,re_loan_normal_approved,plus_3,MAHARASHTRA,West,1,3406.0,1,3744,5200.0
2025-10-30,2025-10-01,<10K,31-35D,New,D,,plus_3,UTTAR PRADESH,North,1,4585.0,1,5040,7000.0
2025-10-30,2025-10-01,<10K,16-25D,New,B,,minus_11,TELANGANA,South,1,2751.0,1,2751,2100.0
2025-10-30,2025-10-01,<10K,<15D,New,D,,minus_15,GUJARAT,West,1,1572.0,1,1572,1200.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,ANDHRA PRADESH,South,7,57900.0,0,6900,64500.0
2025-10-30,2025-10-01,<10K,26-30D,New,NF,,minus_1,HIMACHAL PRADESH,North,1,8515.0,1,8515,6500.0
2025-10-30,2025-10-01,<10K,41-45D,New,NF,,plus_11_15,UTTAR PRADESH,North,2,7190.0,2,8110,5500.0
2025-10-30,2025-10-01,<10K,26-30D,New,NF,,minus_5,DELHI,North,1,9825.0,1,9825,7500.0
2025-10-30,2025-10-01,<10K,26-30D,New,I,,DD,UTTAR PRADESH,North,3,20440.0,2,18320,28000.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,DELHI,North,5,32440.0,0,6000,26000.0
2025-10-30,2025-10-01,10K-20K,26-30D,New,NF,,DD,HARYANA,North,1,11050.0,1,11050,8500.0
2025-10-30,2025-10-01,<10K,26-30D,New,J,,minus_1,RAJASTHAN,North,1,2600.0,1,4861,5900.0
2025-10-30,2025-10-01,<10K,26-30D,New,J,,DD,RAJASTHAN,North,1,5070.0,1,2809,3900.0
2025-10-30,2025-10-01,30K-40K,26-30D,New,E,,minus_2,CHHATTISGARH,East,1,33150.0,1,33150,25500.0
2025-10-30,2025-10-01,10K-20K,>45D,New,C,,plus_90+,KARNATAKA,South,3,42100.0,0,,33000.0
2025-10-30,2025-10-01,10K-20K,26-30D,New,F,,DD,MAHARASHTRA,West,1,13545.0,1,13545,10500.0
2025-10-30,2025-10-01,10K-20K,26-30D,Old,H,re_loan_normal_approved,minus_2,KARNATAKA,South,1,11223.0,1,11223,8700.0
2025-10-30,2025-10-01,<10K,26-30D,New,H,,DD,ANDHRA PRADESH,South,1,8385.0,1,8385,6500.0
2025-10-30,2025-10-01,10K-20K,21-25D,New,H,,minus_5,RAJASTHAN,North,1,16770.0,1,16770,13000.0
2025-10-30,2025-10-01,<10K,26-30D,New,H,,DD,TELANGANA,South,1,1935.0,1,1935,1500.0
2025-10-30,2025-10-01,<10K,26-30D,New,H,,minus_1,GUJARAT,West,1,8385.0,1,8385,6500.0
2025-10-30,2025-10-01,30K-40K,26-30D,New,F,,plus_1,KARNATAKA,South,1,38700.0,1,32343,150000.0
2025-10-30,2025-10-01,<10K,16-25D,New,NF,,minus_11,MAHARASHTRA,West,1,5805.0,1,5805,4500.0
2025-10-30,2025-10-01,<10K,<15D,New,J,,minus_15,UTTAR PRADESH,North,3,16230.0,3,16230,13000.0
2025-10-30,2025-10-01,<10K,26-30D,New,NF,,minus_1,RAJASTHAN,North,2,10905.0,2,10905,8500.0
2025-10-30,2025-10-01,<10K,>45D,New,J,,plus_6,JAMMU AND KASHMIR,North,1,5031.0,0,357,7800.0
